"Timestamp","Career_Stage","Yr_lead","Yr_field","Yr_super","Where","Before_ActPhys","During_ActPhys","Before_ActInter","During_ActInter","After_act","Volunteer","Success","Challenges","Gen_Advice","Resources_grad","Policies","Other"
"2021/11/23 1:34:43 PM CST","Postdoctoral researcher",3,2,0,"Semi-remote (ie, wildlands near cities)","Thorough packing of safety supplies, through research about the field locaation and potential risks","Daily safety talks, staying watchful","pre-field season social getting together (happy hour) to get to know one another, setting the tone for positive interactions through in-person and emailed corresponsance","Having a positive attitude that sets the tone, jumping in to help when field crew members need a break or assistance","Letting the crewmembers know how much you appreciate them, both individually and as a group; offering to be a reference for their future academic and job opportunities","Not at all, except that for volunteers I offer lots more breaks and potentially more snacks (but I've only worked with volunteers on hours-long local (urban) restoration projects, vs undergrad/grad students and paid assistants on days to weeks-long semi-remote projects).","Pre-planning (and being willing to stay up after everyone else went to bed) helped make sure our equipment was present and in order, which prevented too many unexpected hang-ups (morale killers), and illustrated to the crew that I was fully in it, reliable, and on top of making their experience go as smooth as possible. I also prioritize expressing appreciation and recognizing people's contributions, which I think helps keep people positive and motivated, even under sometimes challenging physical conditions.","Once, a paid field assistant was clearly drinking on the job. I was so freaked out that I didn't do anything, which was, in hindsight, a serious failure that put myself and the rest of the crew in danger. I allowed data collection to progress, despite the need to drive to a remote site and operate heavy machinery (chain saws), although I did call the day early. I still don't know exactly what I should have done, considering that I didn't know this person well enough to know whether they could be a danger to the group if provoked while drinking, but I probably should have called the day earlier than I did.","You've got this! I doubted myself at every turn as a graduate student leading a crew, but when you show up with a confident but humble attitude, your crew will trust you and will want to help you succeed by helping the project succeed. Provide opportunities for rest and socialization, thereby acknowledging that this project probably means more to you than it does to them. In other words, you might be motivated to push it to the limit, but this isn't their thesis/dissertation, and they're going to stay more productive and positive if their experience is enjoyable. Let people know that you appreciate them. Try to find ways to personally connect with each member of the crew, even if (and maybe especially) a crew member is a little difficult to get along with. And don't slack on making sure that protocols are carefully followed - have followup accuracy checks, refreshers, etc. if you see that data is coming in messy or inaccurate. You only get one chance at this, so gently remind and refresh to make sure that everyone's data is clean.","","",""
"2021/11/23 2:34:06 PM CST","Faculty Member",8,0,20,"Remote environments","1. Ensure crew has appropriate training (cpr, first aid, boat/vehicle operations, etc.); 2. Run through specific protocols specific to locations and type of work (e.g., electro fishing accident protocol, location of nearest emergency services); 3. Service all gear, equip, vehicles, as needed.","1. Ensure no one works alone (except in rare cases); 2. Check in with crew regularly to assess comfort and confidence with operations;","1. Outline expectations for behavior (our campus has petty good ethics module that all should take). 2. Share lab philosophy for supporting and respecting each other, including diverse perspectives and values.","1. Regular check ins as mentioned above. 2. Detecting tensions early and making adjustments to crew composition and/or orchestrating facilitated discussion of needed.","1. Express gratitude for crews efforts; 2. Recondition, store equip/gear properly. ","Rarely use volunteers. In rare occasions, just abridged training appropriate for the day’s activities. ","Establish clear schedule of tasks with personnel assigned. Give regular time off (adequate rest important). Lead by example - leader take just as many tasks (no matter how menial) as other crew members. We all take turns doing everything. Positive attitude and appreciative of crew efforts always.","Letting personality conflicts fester without addressing early. Failing to take a leader role - early career, wanted to feel like part of the team and this failed to lead it. This led to indecision, passive aggressive comments instead of clear statement of goals and expectations. ","All of the above! Especially point out the responsibility. You are not just another tech. This is your show, lead but remain humble. Be open to input but clear and decisive on expectations. Listen and observe. Ask for support from PI if issues arise… ASAP.","Not that I’m aware of. Generally have built up pattern in lab over the years. Would be good to know of some.","Several required trainings of varied quality. But some is good and valuable. Much better than anything they had when I was a student (none).","Openly discuss any concerns with crew before the season. How safe and comfortable people feel in the field can depend on fieldwork location and individual characteristics such as gender, race, ability, etc. Make an effort to allow all team members to feel safe and supported in field activities."
"2021/11/23 5:12:37 PM CST","Faculty Member",30,10,12,"Remote environments","Having appropriate clothing. First-aid kits. Emergency communication protocols.","Checking on well being of individuals (heat stroke, frostbite). Assuring everyone has the proper equipment. Seeing that everyone has necessary water and food.","Build a culture of checking on and taking care of one another. Making safety everyone’s responsibility.","Make sure everyone knows what their responsibilities entail.","Discuss whether there are ways to improve field methods to enhance productivity and safety.","I usually treat everyone the same. One exception is placing paid employees in positions of authority.","Having a clear plan for conducting research, keeping time critical elements on schedule, but  being flexible when field conditions dictate changes. Trying to maintain an exciting and fun environment.","Extremely cold temperatures that made skiing difficult and kept freezing our water. ","Seek the experience of their professor, be flexible in accomplishing goals, and don’t be afraid to change methods that don’t work.","Wildlife techniques manual ","Many research institutes have checklists for conducting research and offer workshops (e.g, bear safety training).","Do your best to make this an exciting and fun experience."
"2021/11/23 5:26:39 PM CST","Faculty Member",30,35,30,"Remote environments","Have a safety plan. Go over it with the crew. Put it in writing (emergency contact numbers)","Follow the plan.  Go over potential safety issues each day.  Discuss any incidents (near misses) for learning","Know your crew. Careful recruiting.","Buddy system.  Reporting system.","such as...? I guess I am not sure so maybe i do not have a formal oricess","I have not actually led volunteers","Luck. Good weather. Good people.  Resilience and resourcefulness when the unexpected happens","Field workers / collaborators who were not able to cope with difficult physical or cultural environment (different culture, bad weather, bad food, heat, fatigue) and not being about to resolve those stresses","Make a plan for physical and personal safety, discuss safety issues with crew. Get some training your self in field safety.  ","UC Santa Cruz has a great training program","The environmental safety department on our campus has training and resources and forms for field safety.  They borrow most of those resources from another campus that developed it but at least they make it available","Let people know your work ethic in the field.  I put in really long days because it is expensive to get to remote sites and the time is very limited.  So with paid assistants who are not collecting data for their own research I try to compensate accordingly. If I am paying them hourly and can only pay 8 hr/day an, and for the three weeks in the field they are working 10 hr/day 6 d/wk, I pay them for 4.5 wks "
"2021/11/23 6:41:38 PM CST","Graduate Student",6,12,1,"Remote environments","Assess possible risks, establish safety standards, train  crew members on safety","Debrief with team at end of day to check in on risks, have morning briefing check ins to review safety and risks of the day ahead","Establish trust with crew. Establish multiple communication  channels ","Identify behaviors or actionscontribute to risk, model good behavior ","Identify areas for improvement, assess issues during field season ","Amount of training and supervision, type of risk risk tjeh will be exposed to","Clear communication before and during field season, training, indentificafion of all possible risks ","No possible support ","Take more precautions than you think are necessary. Don’t rely on your PI to give you enough information or advice ","No","No. My department had no safety standards In place and allowed people to go into the field without any preparation, which was completely irresponsible ","Ensuring adequate resources "
"2021/11/23 9:27:57 PM CST","Graduate Student",5,NA,0,"Semi-remote (ie, wildlands near cities)","conduct field orientation; check/ purchase appropriate field gear;  prepare safety and evacuation information","Regularly communicate safety with crew; consistently enforce rest breaks; Regularly communicate with site managers if relevant","provide written information on expectations for field work; actively request feedback on expectations; answer questions patiently ","accommodate different paces of working/learning; answer questions patiently; approach unmet expectations constructively; model safe and healthy working habits","","Volunteer workers and undergraduate workers are only given tasks that are embedded within the work of paid workers in order to maximize their chances to gain skills from experienced professionals","Patience, thorough communication about objectives, ","the worst time is when a lead is actively angry about unmet expectations when those expectations were not communicated in advance. Likewise, it is hard when a lead assumes knowledge they have is already in the head of their technicians","Monitor your emotions and always remember that you are responsible for communicating your expectations clearly. Keep in mind that every person brings their own history to a learning experience so what is clear to you may not be obvious to them.","","","Don't ever act like your technicians or assistants should feel lucky to be helping you."
"2021/11/24 3:13:38 AM CST","Postdoctoral researcher",14,15,12,"Remote environments","Make sure everyone has correct clothing, outdoor experience, first aid training, avalanche training, gear, contact information","Daily check ins, point of contact, carrying first aid and emergency contact tools","meet with each person individually, introduce people ahead of time, ask about concerns","take breaks together, talk about other things, get to know each other","make sure all data and equipment is correctly returned.  our field seasons never end, but good to have a mini symposium where everyone presents their first data analysis and laughs about the ups and downs. ","in terms of the points above, not much. I expect more autonomy from students, and let them make more choices but also mistakes.  I'm more aware of the time I ask from paid help","regularly going together to the field, talking a lot.  making about more than science.  all women a lot of the time. ","my co-phd student wanted to have sex with me and had extreme jealousy whenever I interacted with men.  He took it out by blaming me for data problems and equipment failure.  we were in a village for 4 months together with no cell phone connection and I was the only foreigner and had just terminated a pregnancy that he had caused against my desire.  it was pretty awful. ","be organized, get to know everyone, be aware of personal and professional relationships - you don't have to drink the beer.  you have the right to read your book and write in your journal whenever one else is drinking beer.  ","I've been hearing about some new workshops now, but I haven't managed to attend any ","We've had students die.  It is crucial that as a leader, you plan for the worst case scenario.  The university needs to put in place the infrastructure for this -i.e. have a app, or form or something that gets everyone contact information and emergency information.  The university needs to have money available for all and any safety equipment and training (avalanche, first aid, etc).  Everyone should have access to it, including students.  ","It takes time, and it should be a more explicit part of my job ""rewards"".  I mostly feel guilty for having a slow publication record.  I know my academic career will reach a dead end.  But it is just because I have invested so much time (and blood, sweat, and tears) in field work. "
"2021/11/24 7:23:21 AM CST","Graduate Student",3,5,0,"Semi-remote (ie, wildlands near cities)","1) Communicating safety protocol with the crew, 2) ensuring the crew have the required training to conduct the work safely, 3) ensuring all equipment is in  order to prevent injury.  ","1) Creating a positive work environment where the crew can voice safety concerns, 2) continuing to train the crew to conduct the work safely, 3) overseeing equipment maintenance","1) Being transparent and honest with crew during hiring process, 2) communicating regularly with crew about expectations","1) Communication - being transparent, honest, clear, 2) providing positive critique and feedback on work, as well as any areas for improvement, 3) keeping the work atmosphere positive","Following up with crew, see how they're getting on, being a reliable reference for past crew","I don't really change strategy based on position, but on the person (experience, motivation, self-confidence, ability/skill) and project","Dedication, motivation, clear instruction, keeping the crew cleared in on where the work fit in the 'big picture,' keeping a positive/casual atmosphere where interpersonal discussions were painless even when on serious topics","Poor interpersonal relationships, poor planning, conflict between staff, unmotivated crew","Seek advice from others; be transparent with your tech/crew; make the 'bigger picture' clear to your crew - why is the work important? Why should they care?","I don't know of any. ","Workshops would be great - better would be classes on communication, leadership, mentoring. ","None I can think of."
"2021/11/24 7:38:27 AM CST","Graduate Student",5,11,0,"Semi-remote (ie, wildlands near cities)","Makes sure the correct personal gear is available for the type of habitat we are sampling; provide training so that each crew member know the correct protocol and is comfortable with their task","Checking weather be fore heading out; openly communicating with the crew about potential injury or illness risks","Set standards regarding how conflicts will be handled; being willing and open to discuss and resolve issues","Check in with each member regularly; try to model cheerful and excited attitudes to our work; openly work to resolve differences before they become a huge issue.","Checking back in to resolve any lingering questions or issues; checking back to make sure each crew member received the skills and experience they were looking for; acts as a professional reference for the crew and their willingness to deal with strenuous wilderness conditions ","With volunteers (especially undergrads) I typically give more breaks, slow down a little, and teach more as we go.  With paid volunteers, I provide training in the techniques before the season, so my expectations for their work ethic are higher.","Listening the the crew and adjusting our plans as necessary; acknowledging tasks done well; making sure everyone has a chance to do every role in the field","I was stuck taking the data rather than helping with the hands on field collection for the whole weeklong trip.","Let the undergrads see your thought processes as you try to solve a problem; plan out everything you need, and pack the boat/truck the night before (and double check in the morning). Know that eventually the truck will get stuck or blow a tire, it’s just part of field work, make sure you have what you need to deal with it.","I don’t know of any","Our department provided mentoring workshops, and the AFS and TWS subunits on campus provide workshops on field techniques","Providing donuts occasionally never hurts morale"
"2021/11/24 8:26:19 AM CST","Graduate Student",2,2,1,"Split 50% semi-remote and 50% urban","Taking wilderness first aid with all crew members, discussing what everyone is comfortable and able to do, and purchasing necessary gear for ALL members ","Clearly prioritizing health and safety over data collection (e.g., if a crew member looks exhausted/overheated/etc. taking a break or ending the day early to ensure that all crew members understand the expectation that their health is more important than data/science),  providing ALL necessary equipment for safe work, doing regular check-ins","Ensuring there are multiple points of contact to raise concerns (e.g. supervisor, graduate student, lab manager), being very clear and transparent about expectations and goals, ensure the entire crew is being paid fairly","Be generous with breaks, days off, etc. and understanding when someone cannot do the work that was planned for that day, having a clear structure of team lead so that decision-making is easy (even if that rotates from day to day), treats!!! ","If possible, anonymous follow-up surveys or evaluations to make sure that any issues or concerns are brought to their attention without fear of penalization","I don't think it is ethical to bring volunteers into the field. I have only led paid assistants and (paid) undergraduates and used the same strategies for both.","Prioritization of health/safety/fun, regular rewards for hard work (usually ice cream haha), mutual respect, clear communication of expectations and goals, very open to input and expertise from all team members, leadership was rotated for different tasks giving all people agency over the field day/activity at some point in time","Extremely poor communication, leader was not flexible and did not take input from any assistants, data was prioritized over health/well-being/fun, decisions only ever came from one single person","Your data is not worth the suffering of another person - be kind and generous and treat your field crew how you wish you were treated as an undergraduate. This is an opportunity to break the toxic cycle of academia and make science a place that is more inclusive and welcoming, use it! ","I did a teaching & pedagogy course before my field seasons which caused me to think critically about mentorship, which I think probably helped.","Wilderness first aid for all leaders, mental health first aid, MONEY for field equipment","Nope! "
"2021/11/24 9:01:47 AM CST","Graduate Student",1,5,0,"Remote environments","Address what the potential safety issues are, communicate how we will navigate around them, makes sure everybody understands/feels comfortable","Brings appropriate gear, forward thinking of when we might come across unsafe situations, leads by example","Treats everybody the same, has the crew practice what are going to do in the field so we have an opportunity to learn/form comradery","Communicates/delegates clearly, leads by example","Shows gratitude, gives you constructive criticism that tells you your strengths and areas to improve on","I expect the paid assistants, particularly if its a long term project (say  >3 months or permanent and 40 hours a week), to be able to learn and perform the duties I need them to without me having to constantly reteach or remind them how to do the work. With volunteers I am more willing to reteach/remind them, particularly if they only help for a few sporadic times.  ","Clear communication, prior knowledge/planning by the crew lead, clear and decisive delegation and decision making, organization of gear and personnel.","Lack or preparation on the leaders part, lack of communication, lack or decisiveness and delegation","Be patient with yourself and the people on your crew. Make sure you understand what you are doing. Prepare as much as possible before hand. Practice and know how to do the field work before you teach the crew or go in the field. Be a leader and communicate clearly and dont be afraid to delegate.  Theres nothing more frustrating than a crew leader who doesnt really know what is going on or how to make decisions and just tell people what to do. ","None that I can think of ","None that I can think of. This is my first semester here and I wont be leading a crew so I havent needed or had the opportunity to find one.","Be nice and have fun. Besides lack of communication/delegation, a crew lead who is a grouch, bossy, etc. is just down right miserable to work under/with.  Get to know the people on your crew.  Dont ask them to do all the hard stuff while you get to do the easy stuff. Get down in the trenches with them. That will earn their respect and trust and then they will be willing to work hard for you.  "
"2021/11/24 9:41:10 AM CST","Graduate Student",2,7,0,"Remote environments","prepare appropriate medical kits; warn crews of physical fitness requirements for fieldwork","observing changing weather conditions; buffering crews from potentially dangerous humans; observing crew members for mental/physical fatigue","starting communication threads; hosting a meet and greet session","observing crew members and pairing those who work together well; buffering negative interactions","serving as a reference for effective personel","my expectations for the abilities and purpose of volunteers/students is aimed more towards learning rather than the expectation of independent work completion","Clear expectations of the field crew","negligent leadership and negative interpersonal interactions","temper expectations, not everyone will be as passionate about completing your project as you are","","",""
"2021/11/24 9:51:33 AM CST","Graduate Student",2,3,0,"Remote environments","requires safety trainings such as first-aid, bear safety, gun safety etc. Compiles an emergency contact sheet and creates an emergency plan (ex. what to do/ who to contact in worst case scenarios at each field location). ","checks weather conditions and other relevant environmental conditions regularly, packs an adequate first-aid kit, daily check-ins with field team to review the day and discuss how they could have been safer ","meet individually with all field team members to discuss their comfort level with certain tasks/conditions and build personal relationships, share group expectations with members of the field crew ","Have a daily de-brief where crew members can share what went well and what didn’t, monitor that appropriate interactions are occurring between crew members and assist in conflict resolution if necessary ","have a summary meeting with the field crew to review what went well and what can be improved for future field seasons ","Generally no because all members deserve the same level of information, respect, and learning opportunities. However, the types of learning opportunities presented my differ based on the goals of the individual (I.e do they want to gain new skills for their degree or focus on a particular topic)","honest and frequent communication between team members about the safety conditions, research goals, and individual comfort levels ","unexpected weather conditions and logistics issues, unclear expectations for crew members ","take the time to outline all logistics and emergency plans, even if they feel like common sense. in a stressful situation you will be glad you wrote all this details out. Communicate clear expectations for crew behavior, team roles, and science goals ahead of the field season. Also ask your crew and yourself what they/you are hoping to accomplish. I like to set a best case and worst case/minimum goal for what I will accomplish research wise. ","the FISST training to combat sexual harassment and discrimination in field settings fieldworkinitiative.org","UC Davis field safety planning resources https://safetyservices.ucdavis.edu/units/ehs/research/field","daily checkins with your field team are super valuable! And can be adjusted based on your personal leadership style "
"2021/11/24 9:53:06 AM CST","Professional",11,6,5,"Remote environments","Provide a “required” and “optional” packing list. Provide and get signatures on a safety and communications plan. Provide a basic itinerary with everyone’s contact info and emergency contacts. Discuss bathrooming with all team members. ","Daily morning meeting to discuss safety (each person contributing) and stretching during the safety meeting (each person leading a stretch while giving their safety concern). Have a daily checklist to make sure everyone has all proper personal and team gear, food, water, communication device. Make sure people charge their equipment at night. ","Have a gathering of the team (pizza is nice) to go over plans, the safety plans, gear lists, and opens up for questions. ","The safety plan includes some sort of code of conduct with clear instructions on how and to whom to raise concerns. During the safety/stretch session, we also answer a daily question (suggested by a team member). It helps with group bonding. During work, the leader keeps an ear open and directly addresses any mis-behavior. ","The leader contacts each field member individually to thank them for their contributions and ask for feedback. ","No difference other than possibly needing to give more instruction to volunteers or people new to the work. ","Implementing everything I provided in previous answers. ","Lack of overall goals/plan. An expectation that people will just figure it out. ","Ask for help or advice from experienced leaders. Make sure to have prepared: packing lists, team gear lists, itinerary, communications plan (including emergency contacts, communication devices, and protocol for reporting problems), safety plan (including parts for bathrooming and natural hazards like bugs), and go at it with a smile and a sense of humor. Mistakes will happen!","I think it was IARPC who did a webinar for women in the field, including details on clothing and bathrooming. Everyone should watch it. Men need to know what women are dealing with. The book “Fieldwork Ready” by Vero is an excellent resource. ","I don’t know if one, but it would be terrific to hold a few sessions of some sort (online would be excellent) with grad students to help them prepare. ","Smiling, being enthusiastic, and confident in one’s self (even if you’re new…you’re still a leader), all lend to success. "
"2021/11/24 10:12:06 AM CST","Professional",5,25,5,"Remote environments","Make a plan. Talk through equipment and safety gear required to do the physical work. Complete identifed training.  ","Monitor crew. If required, encourage change of protocols to reduce hazards/risks e.g. avoid heat/cold exposure, exhaustion.","Have a code of conduct. Review with field crew. Ask for input (as discussion or anonymously).","Lead by example. Have a safe and accessible reporting system. ","Take note of protocol improvements to be implemented in the future. Summarize work done (e.g. samples taken, plots surveyed) to assist future planning.","","preparation, teamwork, trust","poor decision making due to tiredness and mental fatigue. ","Gain some ""big picture"" knowledge of the field location before you go, including land use history, traditional and current land owners/managers and how you might develop relationships with them (including formal permitting requirements). ","","",""
"2021/11/24 11:34:22 AM CST","Graduate Student",2,2,0,"Remote environments","1. Write safety plan including information on what to do in case of common emergencies, location/hours/contact info for hospitals/ERs, info on field crew (health insurance/allergies/meds). 2. Purchase safety equipment (med kit/GPS-enabled locator beacon or sat phone or SPOT/etc.) and designate safety lead (ideally with wilderness first aid training). 3. Conduct safety briefing with full crew","1. Carry safety equipment & plan, designate safety lead. 2. Maintain situational awareness and conduct risk assessment/check in with crew before engaging in higher risk activities. 3. Take accountability and act when safety issue arises (commonly these might be ambiguous situations like weather conditions change, someone seems fatigued/dehydrated...)","1. Write field season expectations document with statement on non-discrimination, harassment, etc. and include what to do in case of these situations; include external report who is not affiliated with field crew in case independent support is needed/problem is with supervisor. 2. Conduct field season expectations briefing and specifically address this section with field crew, also discuss professional and personal goals.","1. Shut down any harrassment or problematic interpersonal interactions immediately. 2. Conduct mid-season check-ins with field crew on their interpersonal well-being, professional and personal goals","1. Conduct final debrief with field crew on what went well, what could be improved, professional and personal goals. Share and receive constructive feedback. 2. Write letters of recommendation for your field crew and support them in their continued professional development and career! I try to write down what I'd include in a letter (with specific examples) right after the field season while it's fresh in my mind, because letter of rec requests may come a year or more later.","It depends more on the length of time someone is participating in field work v. whether they are volunteers or paid. For long-term (multi-week) volunteers, ideally the strategies are the same. For short-term (a few days) volunteers, usually I just focus on the physical safety component and make sure we conduct a safety briefing on the first day - I have not done a briefing on interpersonal safety or check-in meetings. Maybe I should consider it re: interpersonal safety/harassment expectations!","Communication about expectations and schedule, Listening, Making decisions and sticking to them, Accountability, Give field crew opportunity for ownership/participation in decision-making, Adaptability/flexibility","Lack of preparedness (specifically, have had run-ins with running out of water/dehydration concerns on hot days, I now include a water filter as part of the safety kit), Disorganization and poor communication","Overprepare. Use existing or encourage your PI to write standard templates for safety plan and interpersonal safety (non-discrimination, harassment, etc.). Write detailed field protocols but reassess and be open to changing them once you're out there. If this is your first time doing a particular type of field data collection, ask an expert (your advisor, local collaborator, university faculty who teaches relevant course) to ideally join you in the field early on or walk you through it before you leave - particularly valuable for plant ID! Set realistic goals (ask for advice about what is ""realistic"") and take it slow, particularly on the first few days - take the time to adapt any protocols/expectations as needed early on. Prioritize safety and well-being. Treat your field crew well and support their long-term professional development. Have fun and find ways to decompress at the end of a long day. ","For my safety plan, I started with some university templates (e.g. https://www.ehs.ucsb.edu/field-safety). I do work in national parks, and their websites often have good resources including videos covering physical safety.","Templates for field safety and non-discrimination/harassment protocols at any level. Wilderness first aid training could be department-sponsored and on campus.","Develop close connections, collaborations with local partners."
"2021/11/24 11:35:44 AM CST","Graduate Student",4,10,0,"Semi-remote (ie, wildlands near cities)","Hold a short safety training / talk to discuss potential fieldwork hazards, site access, points of contact, emergency protocols, etc. Provide all of this information in written form to all members of the crew as well. Leaders should familiarize themselves ahead of time with potential issues that may affect specific members of their crew (ex. women, LGBTQ+, BIPOC, disabled technicians)","Keep lines of communication open and solicit constant feedback on how things are going for the crew; reevaluate and make adjustments as necessary. Make it clear that safety and well-being is a higher priority than data and distinguish acceptable risk from unacceptable risk.","Discuss expectations of conduct and protocols or reporting / resolution measures if conflicts arise. Put crew members in touch with one another before the field season so that everyone can get to know one another ahead of time.","Encourage a supportive environment where crew members aren't afraid to honestly discuss challenges, mistakes, etc. Hold crew members accountable if expectations of conduct aren't met, but provide opportunities for people to learn and improve unless the conduct is threatening the safety and well-being of other crew member(s) ","Solicit feedback from the crew on how the field season went, suggestions/ideas for improvement, etc. I have mostly led small (2-4 person) crews and usually give crew members a small thank-you gift (like a book, beer if I know they drink it, etc.) Make sure to acknowledge or thank field crew in all presentations, publications, etc. I like to keep crew members updated on the project and the results of the data they helped collect (and offer co-authorship if appropriate, though usually we discuss that before the field season)","I would never recruit field assistant if I could not pay them adequately, so all of the field techs / crew members I've led have been paid regardless of whether they were undergrads, in grad school, etc.","Never ask my crew to do anything that I'm not willing to do personally; make sure to provide regular days off; keep a good sense of humor even when a particular task sucks (ex. vegetation surveys in regenerating clearcuts!) Also, each crew member has their own strengths; when possible, divide up tasks so that each person can work on what they find most rewarding or feel they are most competent in","Not communicating adequately with project partners / property owners prior to data collection. Completely my fault!","Fieldwork can be physically and emotionally challenging but is SO rewarding. Some degree of risk is inherent but remember that getting the data is never worth putting your crew in danger. If you encourage a fieldwork culture where people are comfortable asking questions and aren't punished for making mistakes, where they know that you will listen to their concerns and have their well-being in mind, everyone will be happier and your data will be of higher quality.","Everyone should read Demery & Pipkin 2021 ""Safe fieldwork strategies for at-risk individuals, their supervisors, and institutions"" (and implement the suggestions as much as possible)","Ask about existing field safety plans, protocols, and equipment (if any). Some universities may provide First Aid / Wilderness First Aid training or have funds available for you to attend these trainings","A good sense of humor is probably the #1 requirement! It's stressful when shit hits the fan and it's your thesis or dissertation on the line, but try to see the humor and roll with the inevitable fieldwork fails (as long as they're not actually endangering anyone.) "
"2021/11/24 12:42:44 PM CST","Graduate Student",3,2,0,"Semi-remote (ie, wildlands near cities)","clearly describe field site locations and conditions, lead a collaborative discussion of known and potential risks with team, (if possible) groundtruth site without the pressure of conducting any data collection (though possibly include a test/run through of field methods).","monitor weather forecast, lead stretch & flex with team on field days (this is a good opportunity to discuss opportunities and challenges, and near misses with team regularly).","train team on methods to put everyone on the same page, organize an team-bonding event (extra points for something fieldy), I'm not sure if this counts, but - select a team with interpersonal elements as part of your criteria - better to have a cohesive team with flawed individuals, than a bunch of superstars who can't work together.","plan time for rest days, get input from team members on meals/snacks,  end of day check-ins that include positive observations (e.g., talk about everyone's best moment/view/find of the day).","I like to debrief with whoever I've worked with and brainstorm 'lessons learned' on white board that I then photograph and keep the notes for planning the next season. Take the team out for ice cream, have a BBQ or go out for dinner (something social to celebrate the accomplishments).","I try to make days fun and easy-going with volunteers (i.e., not expecting them to hustle in poor conditions for extra long days) and I feed them; students - discuss goals, interests at the beginning, be conscientious of the example you are setting in how you work and how you treat other people, check in with them regularly to give them lots of opportunities to discuss challenges or questions, I find sometimes they are not as comfortable speaking up without a prompt; paid assistants - clearly communicate expectations, instructions and plans, as would be expected with any job (i.e., make a plan and stick to it unless compelling reason to make changes - then changes should be discussed), sometimes putting instructions and expectations in writing helps ensure this information is clearly communicated, also provides a reference (for both sides) if expectations are not being met - if the wage is fair for the job then I don't think it is necessary to baby an assistant, field work is hard and uncomfortable sometimes and that's what they've signed up for. When the job is not fully compensated monetarily (i.e., maybe some money but not a fair wage and the balance of compensation is experience of some sort) I think it is important to not forgo the non-monetary part of the compensation, this usually equates to added time for teaching or more slowly conduction sampling in order to let the people practice, discuss the process/procedure and maybe reflect on the day's work in greater detail (vs. the essentials or safety, challenges, preparedness).","having an organized plan, being flexible, ability to problem solve, knowing when to step back, pause and adjust.","team of 3 technicians with no manager (i.e. no one assigned lead, all 3 on same level) completing time sensitive sampling program at remote (heli access) site, one team member who didn't want to be there would not contribute but also would not get out of the way of the other two technicians, putting everyone at risk in the field and slowing down the sampling by refusing to work. I think either a manager should have been part of the team or one of the team members put in charge by manager before team went into the field so that leadership was understood beforehand. That being said, this team member was problematic from the beginning and should never have been hired for this position as they lacked the experience and maturity to be part of a team working remotely and independently - they wanted a free trip to the arctic and were not prepared for the hard work, conditions and long shifts (28 days in camp, no rest days).","Do a test run of your field procedures, plan for delays and give yourself time and space to reassess you procedures part way through the season, ask lots of questions of your advisor/s and get a commitment from them as to whether they will join you in the field for any part of your work and how you will communicate with them when you need their input during the field season, select your team carefully (request to be involved in the selection process, you're the one who has to work with these assistants/undergrads afterall), stay dry and bring extra sharpies and batteries. **know how all your equipment works and how to problem solve technical glitches in the field (and when it's time to take your widget back to the lab for assessment).","nothing I can think of.","private sector takes safety very seriously and if there is fieldwork involved discussions about safety task by task are usually part of the SOP, I haven't found university safety documents or discussions to be very practical (they are just concerned with legal coverage). I think taking some pages from the private sector book would be a valuable addition for grad student field leaders, as unless you've been exposed to the private sector in this way these concepts don't come up in many other life experiences - I'm a fan of the Field Level Risk Assessment, it's basically a conversation at the field site prior to start of work that lists the potential risks and what the team will do to mitigate them based on the site, the conditions that day (snowing, hot, windy, etc), and the task at hand (are there any chemicals involved, sharp or otherwise dangerous tools, etc). It just helps put the potential risks at the front of mind (vs. that one safety document you read two months back before you were even out in the field), clarify the task and roles to everyone involved and note any new/unique challenges due to the here and now of the situation. This usually takes 5-10 minutes, and can be as simple as: we're sampling vegetation plots this morning, it is sunny and hot out, we are an hour walk from our vehicle and wildlife in the area include bears - we will wear sunscreen and hats, and stop for water breaks, we will leave by X time to return to the vehicle before dark, we will work in teams of 2 and have 1 bear spray per team and scan the surroundings for wildlife regularly (at least every 15 minutes). We all know these things, but saying it at the outset puts it in each team member's mind.","not that I can think of."
"2021/11/24 2:14:49 PM CST","",3,7,0,"Semi-remote (ie, wildlands near cities)","Visiting the survey area, making sure field crew have basic first aid, CPR, HAZWOPER if needed, and are trained in the use of equipment","Morning ""tailgate"" briefing, review of assignments and ""buddy"" list if some crew will be working out of sight, making sure everyone is accounted for at quitting time","Training with equipment at a non-study location, review of protocols, discussion of objectives and purpose of field work","One-on-one check ins with crew, daily post-work debriefs, being attuned to mismatched crew members and adjusting work assignments","Sharing results with crew members and thanking them for their effort.","With volunteers I try to assess their interest in being there in the first place, their level of experience, what they hope to gain from volunteering, and establish expectations. I do less of that with students and paid assistants.","Forehandedness - having a plana the equipment needed to carry it out, making sure the crew was briefed before ever going in the field; Flexibility - sometimes sites have to worked on days other than scheduled for various reasons; patience and evenhandedness.","Trying to use equipment (ATV) that I wasn't trained for.","Prepare - prepare - prepare","Prior experience is a great teacher - I'd highly recommend a field school or working as crew member before trying to lead a crew.","Orientation of the tasks, tools, and protocols","Try to stay calm, and expect to have to make decisions."
